SMM4H2022UsOrVPnHjHXTdciW	ADE	bruising	30	38
SMM4H2022nqSx5YKgncBmaJ40	ADE	staring at myself	22	39
SMM4H20227fgc68K2dIAbvPLj	ADE	ripping their clothes off	68	93
SMM4H20226SwdPJeIwdtgHNlJ	ADE	feel like i am going to die	96	123
SMM4H2022grb3peMyLn0aZM4G	ADE	straighten my hair	78	96
SMM4H2022PkLf7iWoae4WnahZ	ADE	cramps	80	86
SMM4H2022VA0lFurlV5FcCmyJ	ADE	sweaty incident during the show yesterday i looked it up and whaddayaknow sweating	22	104
SMM4H2022T4xOdFkQosP6NHaC	ADE	lightheaded	92	103
SMM4H20227boRJh6GFoGsF3Sk	ADE	addicted to xanax in high school its a miracle i still remember	13	76
SMM4H20222krXvnYPV9QfSjWh	ADE	withdrawal	108	118
SMM4H20224R9sQnvkX9I7VZAX	ADE	sick	20	24
SMM4H2022BLaO11F6PBtc2siW	ADE	throwing up	34	45
SMM4H2022s0qpuic35LSW4til	ADE	the shingles	98	110
SMM4H20227HrpD4eKixKkdJzv	ADE	weird dreams dreamed i was hanging out with a group of young gay men who were obsessed with obtaining perfect dark skin	14	133
SMM4H2022ZC9i6G9IQAgp3sPy	ADE	tummy	31	36
SMM4H2022uRKWYu44Bz2xGHTy	ADE	personality changes	84	103
SMM4H2022M5W38tQa99CiPRS3	ADE	gall bladder	115	127
SMM4H2022efGJKGD8nExIEIhR	ADE	tolerance	89	98
SMM4H2022SsDRFvvHQ72T9yH3	ADE	lost 3 days of my life	105	127
SMM4H20226XAgyMzjvduMDysd	ADE	drunk	30	35
SMM4H2022BDRlkCz1Za7LIROE	ADE	cramps	39	45
SMM4H20224gHYVb4cCdRqZQkV	ADE	dreams	4	10
SMM4H2022Nxslx2I1hINpQkoO	ADE	mad appetite	19	31
SMM4H2022DBvZyNTL93kxdnNj	ADE	flares floor me so i can empathise with you on that doc put me on lyrica 18mths ago n iv put 5st on n lost my memory	12	128
SMM4H2022wjqmynj1AA27MYUw	ADE	opioid withdrawals	32	50
SMM4H2022xalCyNWv07BQz9O9	ADE	pee more and obviously	136	158
SMM4H2022DvzTYDUlfMIvxSbH	ADE	bowels	3	9
SMM4H20220sD1HwRFGvwkezbi	ADE	bitchy	44	50
SMM4H2022RGSiPodnuZPLDh5v	ADE	feel worse	101	111
SMM4H2022NBsyG5dH3rrbVAUt	ADE	tumbling out of dreams into a half conscious state	64	114
SMM4H2022M8AYElg2hJ7MYDVx	ADE	jitters	32	39
